test,policy,nodes,nworkers,pipeline_num,ratio,distribution,makespan,completed_tasks,workflow_done,unscheduled,wall_seconds
3,ordered,256,26112,104448,4.0,ordered_equal_stages,9309.339105531692,208896,True,0,18.431
2,pinned,256,26112,104448,4.0,pinned_default,11839.030667379619,104448,True,0,3.528
2,ordered,256,26112,104448,4.0,ordered_default,9399.398731439953,208896,True,0,17.694
2,pinned,512,52224,104448,2.0,pinned_default,7535.310919097632,104448,True,0,2.201
2,ordered,512,52224,104448,2.0,ordered_default,5593.572363328555,208896,True,0,11.626
2,pinned,1024,104448,104448,1.0,pinned_default,5475.77039048777,104448,True,0,1.357
2,ordered,1024,104448,104448,1.0,ordered_default,5763.275378329498,208896,True,0,2.834
2,pinned,2048,208896,104448,0.5,pinned_default,5162.095389537433,104448,True,0,1.336
2,ordered,2048,208896,104448,0.5,ordered_default,5762.941785392777,208896,True,0,2.961
2,pinned,4096,417792,104448,0.25,pinned_default,5122.432671539576,104448,True,0,1.457
2,ordered,4096,417792,104448,0.25,ordered_default,5421.9199595515975,208896,True,0,2.939
2,pinned,8192,835584,104448,0.125,pinned_default,5294.149659287435,104448,True,0,1.44
2,ordered,8192,835584,104448,0.125,ordered_default,5409.604973270306,208896,True,0,2.931
1,pinned,256,26112,104448,4.0,pinned_default,11798.046983260137,104448,True,0,3.904
1,ordered,256,26112,104448,4.0,ordered_default,9429.61796158044,208896,True,0,18.545
1,pinned,512,52224,208896,4.0,pinned_default,11844.755141039663,208896,True,0,15.481
1,ordered,512,52224,208896,4.0,ordered_default,9411.557951118486,417792,True,0,86.142
1,pinned,1024,104448,417792,4.0,pinned_default,12206.953815432911,417792,True,0,79.121
1,ordered,1024,104448,417792,4.0,ordered_default,9401.927814703227,835584,True,0,383.198
1,pinned,2048,208896,835584,4.0,pinned_default,12218.542490969205,835584,True,0,367.902
1,ordered,2048,208896,835584,4.0,ordered_default,9407.633936494154,1671168,True,0,1523.663
