series,policy,stdev,variance,nodes,nworkers,pipeline_num,distribution,stage1_mean,stage1_var,stage2_mean,stage2_var,makespan,completed_tasks,workflow_done,unscheduled,wall_seconds
A_ord,ordered,1,1,256,26112,104448,m10v1_m10v1,10,1,10,1,4830.0461436750575,208896,True,0,19.31
B_ord,ordered,1,1,256,26112,104448,m10v1_m10v1,10,1,10,1,4830.416704409866,208896,True,0,18.377
D_ord,ordered,1,1,256,26112,104448,m10v1_m10v1,10,1,10,1,4830.015211544918,208896,True,0,18.136
A_ord,ordered,2,4,256,26112,104448,m10v4_m10v4,10,4,10,4,4860.599414324865,208896,True,0,18.442
B_ord,ordered,2,4,256,26112,104448,m10v1_m10v4,10,1,10,4,4850.3475168692785,208896,True,0,18.273
D_ord,ordered,2,4,256,26112,104448,m10v4_m10v1,10,4,10,1,4816.921491175528,208896,True,0,18.559
A_ord,ordered,3,9,256,26112,104448,m10v9_m10v9,10,9,10,9,4891.74444485931,208896,True,0,18.555
B_ord,ordered,3,9,256,26112,104448,m10v1_m10v9,10,1,10,9,4879.837587566695,208896,True,0,18.295
D_ord,ordered,3,9,256,26112,104448,m10v9_m10v1,10,9,10,1,4822.813040316257,208896,True,0,17.553
A_ord,ordered,4,16,256,26112,104448,m10v16_m10v16,10,16,10,16,4921.176994321517,208896,True,0,17.763
B_ord,ordered,4,16,256,26112,104448,m10v1_m10v16,10,1,10,16,4912.159546650197,208896,True,0,17.894
D_ord,ordered,4,16,256,26112,104448,m10v16_m10v1,10,16,10,1,4819.043660006226,208896,True,0,17.931
A_ord,ordered,5,25,256,26112,104448,m10v25_m10v25,10,25,10,25,4956.182413445076,208896,True,0,17.319
B_ord,ordered,5,25,256,26112,104448,m10v1_m10v25,10,1,10,25,4941.396239337126,208896,True,0,17.668
D_ord,ordered,5,25,256,26112,104448,m10v25_m10v1,10,25,10,1,4825.705227072663,208896,True,0,17.583
A_ord,ordered,6,36,256,26112,104448,m10v36_m10v36,10,36,10,36,4988.346373066504,208896,True,0,17.975
B_ord,ordered,6,36,256,26112,104448,m10v1_m10v36,10,1,10,36,4972.134028552178,208896,True,0,18.367
D_ord,ordered,6,36,256,26112,104448,m10v36_m10v1,10,36,10,1,4847.656354327439,208896,True,0,19.872
A_ord,ordered,7,49,256,26112,104448,m10v49_m10v49,10,49,10,49,5225.57811533689,208896,True,0,17.745
B_ord,ordered,7,49,256,26112,104448,m10v1_m10v49,10,1,10,49,5002.228269764461,208896,True,0,17.952
D_ord,ordered,7,49,256,26112,104448,m10v49_m10v1,10,49,10,1,5043.621758877582,208896,True,0,18.918
A_ord,ordered,8,64,256,26112,104448,m10v64_m10v64,10,64,10,64,5368.128763990574,208896,True,0,18.528
B_ord,ordered,8,64,256,26112,104448,m10v1_m10v64,10,1,10,64,5041.248756431321,208896,True,0,19.338
D_ord,ordered,8,64,256,26112,104448,m10v64_m10v1,10,64,10,1,5163.725441272116,208896,True,0,18.476
A_ord,ordered,9,81,256,26112,104448,m10v81_m10v81,10,81,10,81,5735.95308854854,208896,True,0,18.08
B_ord,ordered,9,81,256,26112,104448,m10v1_m10v81,10,1,10,81,5216.780843965859,208896,True,0,19.14
D_ord,ordered,9,81,256,26112,104448,m10v81_m10v1,10,81,10,1,5235.464698674736,208896,True,0,17.937
A_ord,ordered,10,100,256,26112,104448,m10v100_m10v100,10,100,10,100,6659.945688327505,208896,True,0,17.999
B_ord,ordered,10,100,256,26112,104448,m10v1_m10v100,10,1,10,100,5835.968609690818,208896,True,0,19.095
D_ord,ordered,10,100,256,26112,104448,m10v100_m10v1,10,100,10,1,5300.563518900754,208896,True,0,18.3
A_ord,ordered,11,121,256,26112,104448,m10v121_m10v121,10,121,10,121,7024.905936051031,208896,True,0,18.234
B_ord,ordered,11,121,256,26112,104448,m10v1_m10v121,10,1,10,121,5922.043535582187,208896,True,0,18.887
D_ord,ordered,11,121,256,26112,104448,m10v121_m10v1,10,121,10,1,5383.123830934312,208896,True,0,18.429
A_ord,ordered,12,144,256,26112,104448,m10v144_m10v144,10,144,10,144,8094.72594890843,208896,True,0,18.4
B_ord,ordered,12,144,256,26112,104448,m10v1_m10v144,10,1,10,144,5995.787641589461,208896,True,0,18.591
D_ord,ordered,12,144,256,26112,104448,m10v144_m10v1,10,144,10,1,5445.231386628685,208896,True,0,18.325
A_ord,ordered,13,169,256,26112,104448,m10v169_m10v169,10,169,10,169,7777.439626910388,208896,True,0,17.475
B_ord,ordered,13,169,256,26112,104448,m10v1_m10v169,10,1,10,169,6310.108142139322,208896,True,0,18.508
D_ord,ordered,13,169,256,26112,104448,m10v169_m10v1,10,169,10,1,5519.210477936952,208896,True,0,18.176
A_ord,ordered,14,196,256,26112,104448,m10v196_m10v196,10,196,10,196,8602.932590462493,208896,True,0,17.204
B_ord,ordered,14,196,256,26112,104448,m10v1_m10v196,10,1,10,196,6386.320412492939,208896,True,0,18.192
D_ord,ordered,14,196,256,26112,104448,m10v196_m10v1,10,196,10,1,5621.377934429552,208896,True,0,18.103
A_ord,ordered,15,225,256,26112,104448,m10v225_m10v225,10,225,10,225,8892.996421019923,208896,True,0,17.789
B_ord,ordered,15,225,256,26112,104448,m10v1_m10v225,10,1,10,225,7022.999700814475,208896,True,0,18.068
D_ord,ordered,15,225,256,26112,104448,m10v225_m10v1,10,225,10,1,5718.79312890796,208896,True,0,17.378
A_ord,ordered,16,256,256,26112,104448,m10v256_m10v256,10,256,10,256,9983.292489316707,208896,True,0,17.068
B_ord,ordered,16,256,256,26112,104448,m10v1_m10v256,10,1,10,256,7856.634891481305,208896,True,0,17.784
D_ord,ordered,16,256,256,26112,104448,m10v256_m10v1,10,256,10,1,5825.003844372922,208896,True,0,17.639
A_ord,ordered,17,289,256,26112,104448,m10v289_m10v289,10,289,10,289,10098.167425174637,208896,True,0,17.47
